Category,Subtitle,Name,Description,Price,Tags
CURRIES NON VEG,CHICKEN,MURGH DA BHARTA,An all time favourite! Chicken cooked to perfection in a rich creamy Arsalan in-house paste.,275,Non-veg
CURRIES NON VEG,CHICKEN,MURGH RARA,Keema & bone-in chicken simmered in spicy gravy.,325,"Non-veg, Chilli"
CURRIES NON VEG,MUTTON,MUTTON KASHA,"Succulent mutton pieces, slow cooked in a spicy gravy over a low heat.",485,"Non-veg, Chilli"
CURRIES NON VEG,MUTTON,MUTTON ROGAN JOSH,"Tender morsels of mutton cooked in a flavorful blend of spices, yogurt, and tomatoes.",505,"Non-veg, Studio Special"
CURRIES NON VEG,MUTTON,MUTTON RARA,Combines the mutton pieces along with the mutton keema tossed in a thick gravy.,545,"Non-veg, Studio Special"
CURRIES NON VEG,FISH & PRAWN,BONELESS FISH TIKKA MASALA,,385,Non-veg
CURRIES NON VEG,FISH & PRAWN,PRAWN MALAI CURRY,,475,Non-veg
THANDA THANDA CREAM CREAM,ICE CREAM,DOUBLE SCOOP ICE CREAM,Choice of available flavours.,99,"Veg, Kid's Loves It"
THANDA THANDA CREAM CREAM,CHEESE CAKE,BLUEBERRY CHEESECAKE,Delicious cream cheese and blueberries toppings make our blueberry cheesecake exceptional.,249,Veg
THANDA THANDA CREAM CREAM,CHEESE CAKE,NEW YORK CHEESECAKE,cheesecake is the perfect combination of cream cheese and a crunchy cracker crust.,235,Veg
MITHA HO JAYE,HOT & COLD,HOT GULAB JAMUN,"Melt in mouth mawa dumplings, deep fried and soaked in rose-flavoured golden syrup. *Add ice cream per scoop 45.",75,"Veg, Kid's Loves It"
MITHA HO JAYE,HOT & COLD,HOT BROWNIE,"Moist, rich, baked chocolate dessert sinfully topped with delectable chocolate sauce.",89,"Veg, Kid's Loves It"
JAANE SE PEHLE,DESSERT,OREO BLAST DELIGHT,"Decadent, chocolaty dessert with an oreo crust, chocolate cream, whipped cream, oreo bites.",149,"Veg, Kid's Loves It"
JAANE SE PEHLE,DESSERT,TUTTI FRUTTI DELIGHT,"Rich, creamy fresh dessert, with the pleasant surprise of fruits in every bite.",175,Veg
JAANE SE PEHLE,DESSERT,STUDIO TRIPLE DELIGHT,"Soft, velvety dessert with chocolate, vanilla, butter scotch layers, rich whipped cream filling.",199,"Veg, Studio Special"
