Category,Subtitle,Name,Description,Price,Tags
WOK WONDERS,NON VEG GRAVY,PRAWN SCHEZWAN,"Coated cubed boneless chunks tossed in oyster sauce, light soya, flavoured with wine (non-alcoholic) and schezwan pepper.",415,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,CHICKEN KUNGPAO,"Diced bell pepper, cashews, roasted chilies flavoured with hoisin chili sauces, sesame oil, and non-alcoholic wine.",325,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,FISH KUNGPAO,"Diced bell pepper, cashews, roasted chilies flavoured with hoisin chili sauces, sesame oil, and non-alcoholic wine.",395,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,PRAWN KUNGPAO,"Diced bell pepper, cashews, roasted chilies flavoured with hoisin chili sauces, sesame oil, and non-alcoholic wine.",435,"Non-veg, Chilli"
WOK WONDERS,NON VEG GRAVY,CHICKEN SWEET GARLIC,Coated cubed boneless chunks in sweet garlic gravy.,305,Non-veg
WOK WONDERS,NON VEG GRAVY,FISH SWEET GARLIC,Coated cubed boneless chunks in sweet garlic gravy.,375,Non-veg
WOK WONDERS,NON VEG GRAVY,PRAWN SWEET GARLIC,Coated cubed boneless chunks in sweet garlic gravy.,415,Non-veg
WOK WONDERS,NON VEG GRAVY,DRUMS OF PARADISE,Succulent chicken lollipops bathed in a tantalizing sweet and spicy gravy.,335,"Non-veg, Chilli, Studio Special"
VEGGIE VOYAGE,VEG GRAVY,CHILLI GARLIC BABY CORN & MUSHROOM,"Sauteed garlic, baby corn and button mushroom in tomato and house chilli sauce, flavoured with wine (non-alcoholic).",249,"Veg, Chilli"
VEGGIE VOYAGE,VEG GRAVY,CHILLI MUSHROOM,"Handpicked mushrooms and bell pepper tossed in chilli paste and tomato sauce, flavoured with wine (non-alcoholic).",265,"Veg, Chilli"
VEGGIE VOYAGE,VEG GRAVY,VEG MANCHURIAN GRAVY,"Assorted vegetables balls tossed in dark soya, spicy chilli sauce, oyster and tomato sauce.",245,Veg
VEGGIE VOYAGE,VEG GRAVY,CHILLI PANEER GRAVY,"Crispy battered cottage cheese, capsicum and onion, tossed in chilli and soya gravy.",285,"Veg, Chilli"
VEGGIE VOYAGE,VEG GRAVY,EXOTIC VEG IN BUTTER GARLIC SAUCE,A symphony of vibrant vegetables tossed in a luscious buttery garlic blend.,255,Veg
RISTA ROTI KA,INDIAN BREAD,BUTTER TANDOORI (ATTA),"Whole wheat flatbread, tandoor roasted and topped with butter.",40,Veg
RISTA ROTI KA,INDIAN BREAD,PLAIN TANDOORI (ATTA),"Whole wheat flatbread, roasted in a clay oven.",35,Veg
RISTA ROTI KA,INDIAN BREAD,MASALA KULCHA,"Potato, green chillies, herbs and assorted spices in a leavened flour dough, clay oven roasted until perfection.",95,"Veg, Chilli"
RISTA ROTI KA,INDIAN BREAD,MISSI ROTI,"Savoury whole wheat and chickpea flour flatbread, laced with onion, garlic, chopped green chillies and spices.",50,"Veg, Chilli"
RISTA ROTI KA,INDIAN BREAD,PLAIN NAAN,"Thick and fluffy Indian flatbread, roasted on a clay oven and served warm.",60,Veg
RISTA ROTI KA,INDIAN BREAD,BUTTER NAAN,Fluffy flatbread tandoor roasted and topped with butter.,70,Veg
RISTA ROTI KA,INDIAN BREAD,BUTTER GARLIC NAAN,"Chopped garlic in flour dough, roasted in clay oven, glazed with butter.",80,Veg
